fname,itp,tp_prob,its,ts_prob
20210129061722.000000.GD.DOX.mseed_0,[],[],[],[]
20210129061722.000000.GD.BLT.mseed_0,[],[],[],[]
20210129061722.000000.GD.GUL.mseed_0,[],[],[],[]
20210129061722.000000.GD.DFH.mseed_0,[],[],[],[]
20210129061722.000000.GD.HEP.mseed_0,[],[],[],[]
20210129061722.000000.GD.HYJ.mseed_0,[],[],[],[]
20210129061722.000000.GD.DYXC.mseed_0,[],[],[],[]
20210129061722.000000.GD.DOY.mseed_0,[],[],[],[]
20210129061722.000000.GD.HEP.mseed_3000,[],[],[],[]
20210129061722.000000.GD.DYXC.mseed_3000,[],[],[],[]
20210129061722.000000.GD.DOY.mseed_3000,[],[],[],[]
20210129061722.000000.GD.DFH.mseed_3000,[],[],[],[]
20210129061722.000000.GD.HYJ.mseed_3000,[],[],[],[]
20210129061722.000000.GD.GUL.mseed_3000,[],[],[],[]
20210129061722.000000.GD.BLT.mseed_3000,[],[],[],[]
20210129061722.000000.GD.DOX.mseed_3000,[],[],[],[]
20210129061722.000000.GD.HEP.mseed_6000,[960],[0.968905],[1174],[0.9605]
20210129061722.000000.GD.DYXC.mseed_6000,[1092],[0.963441],[1392],[0.956915]
20210129061722.000000.GD.DOY.mseed_6000,[891],[0.982257],[1049],[0.9794]
20210129061722.000000.GD.DFH.mseed_6000,[1002],[0.948169],[1226],[0.973623]
20210129061722.000000.GD.HYJ.mseed_6000,[879],[0.979072],[1024],[0.972825]
20210129061722.000000.GD.GUL.mseed_6000,[1045],[0.863412],[1283],[0.872027]
20210129061722.000000.GD.DOX.mseed_6000,[893],[0.977129],[1050],[0.983346]
20210129061722.000000.GD.HEP.mseed_9000,[],[],[],[]
20210129061722.000000.GD.BLT.mseed_6000,[899],[0.983033],[1076],[0.982929]
20210129061722.000000.GD.DOY.mseed_9000,[],[],[],[]
20210129061722.000000.GD.DFH.mseed_9000,[],[],[],[]
20210129061722.000000.GD.DYXC.mseed_9000,[],[],[],[]
20210129061722.000000.GD.HYJ.mseed_9000,[],[],[],[]
20210129061722.000000.GD.GUL.mseed_9000,[],[],[],[]
20210129061722.000000.GD.DOX.mseed_9000,[],[],[],[]
20210129061722.000000.GD.HEP.mseed_12000,[],[],[],[]
20210129061722.000000.GD.DOY.mseed_12000,[],[],[],[]
20210129061722.000000.GD.BLT.mseed_9000,[],[],[],[]
20210129061722.000000.GD.DYXC.mseed_12000,[],[],[],[]
20210129061722.000000.GD.DFH.mseed_12000,[],[],[],[]
20210129061722.000000.GD.HYJ.mseed_12000,[],[],[],[]
20210129061722.000000.GD.GUL.mseed_12000,[],[],[],[]
20210129061722.000000.GD.DOX.mseed_12000,[],[],[],[]
20210129061722.000000.GD.DOY.mseed_15000,[],[],[],[]
20210129061722.000000.GD.HEP.mseed_15000,[],[],[],[]
20210129061722.000000.GD.BLT.mseed_12000,[],[],[],[]
20210129061722.000000.GD.DFH.mseed_15000,[],[],[],[]
20210129061722.000000.GD.DYXC.mseed_15000,[],[],[],[]
20210129061722.000000.GD.HYJ.mseed_15000,[],[],[],[]
20210129061722.000000.GD.GUL.mseed_15000,[],[],[],[]
20210129061722.000000.GD.DOX.mseed_15000,[],[],[],[]
20210129061722.000000.GD.DOY.mseed_18000,[],[],[],[]
20210129061722.000000.GD.HEP.mseed_18000,[],[],[],[]
20210129061722.000000.GD.DFH.mseed_18000,[],[],[],[]
20210129061722.000000.GD.BLT.mseed_15000,[],[],[],[]
